"persons-name","persons-birth_date","persons-sources","persons-summary","persons-image","persons-name","organizations-name","organizations-classification","posts-label","posts-role","posts-cargonominal","posts-cargotipo","posts-cargoclase","posts-duracioncargo","memberships-label","memberships-role","memberships-cargonominal","memberships-start_date","memberships-end_date","memberships-end_date_accuracy","memberships-start_date_accuracy"
"Martín Insaurralde","","","","","Martín Insaurralde","Provincia de Buenos Aires","","Concejal","Concejal","Concejal","Legislativo","Electivo","6","Concejal","Concejal","Concejal","2003-10-12","2007-10-12","",""
"Fernando Espinoza","","","","","Fernando Espinoza","Provincia de Buenos Aires","","Concejal","Concejal","Concejal","Legislativo","Electivo","6","Concejal","Concejal","Concejal","1999-10-12","2003-10-12","",""
"Fernando Espinoza","","","","","Fernando Espinoza","Provincia de Buenos Aires","","Concejal","Concejal","Concejal","Legislativo","Electivo","6","Concejal","Concejal","Concejal","2003-10-12","2005-12-10","year",""
"Carlos Miguel Kunkel","","","","","Carlos Miguel Kunkel","Argentina","","Asesor","Asesor","Asesor","Legislativo","No Electivo","2","Asesor","Asesor","Asesor","1983-12-10","1985-12-10","year","year"
"Raúl Alfredo Othacehé","","","","","Raúl Alfredo Othacehé","Provincia de Buenos Aires","","Concejal","Concejal","Concejal","Legislativo","Electivo","6","Concejal","Concejal","Concejal","1987-12-10","1991-10-12","","year"
"Martín Insaurralde","","","","","Martín Insaurralde","Provincia de Buenos Aires","","Concejal","Concejal","Concejal","Legislativo","Electivo","6","Concejal","Concejal","Concejal","2007-10-12","2009-10-28","",""
"Baldomero Álvarez de Olivera","","","","","Baldomero Álvarez de Olivera","Provincia de Buenos Aires","","Concejal","Concejal","Concejal","Legislativo","Electivo","6","Concejal","Concejal","Concejal","2011-10-12","","",""
"Aldo Rico","","","","","Aldo Rico","Provincia de Buenos Aires","","Concejal","Concejal","Concejal","Legislativo","Electivo","6","Concejal","Concejal","Concejal","2009-12-10","2013-12-10","year","year"
"Diana Beatriz Conti","","","","","Diana Beatriz Conti","Argentina","","Consejo de la Magistratura","Consejo de la Magistratura","Consejo de la Magistratura","Legislativo","No Electivo","3","Consejo de la Magistratura","Consejo de la Magistratura","Consejo de la Magistratura","2007-01-01","2010-12-31","",""
"Carlos Miguel Kunkel","","","","","Carlos Miguel Kunkel","Argentina","","Consejo de la Magistratura","Consejo de la Magistratura","Consejo de la Magistratura","Legislativo","No Electivo","3","Consejo de la Magistratura","Consejo de la Magistratura","Consejo de la Magistratura","2006-12-10","2010-12-10","year","year"
"Elisa Maria Avelina Carrió","","","","http://www.diariohuarpe.com/wp-content/uploads/2014/08/carrio.jpg","Elisa Maria Avelina Carrió","Argentina","","constituyente","constituyente","constituyente","Legislativo","No Electivo","","constituyente","constituyente","constituyente","1994-12-10","1995-12-10","year","year"
"Aldo Rico","","","","","Aldo Rico","Argentina","","constituyente","constituyente","constituyente","Legislativo","No Electivo","","constituyente","constituyente","constituyente","1994-12-10","1994-12-10","year","year"
"Aníbal Domingo Fernández","","","","https://pbs.twimg.com/profile_images/458755486611804161/r1K4ad25.jpeg","Aníbal Domingo Fernández","Provincia de Buenos Aires","","constituyente","constituyente","constituyente","Legislativo","No Electivo","","constituyente","constituyente","constituyente","1995-12-10","1996-12-10","year","year"
"Héctor Timmerman","","","","","Héctor Timmerman","Estados Unidos","","consul","consul","consul","Ejecutivo","No Electivo","","consul","consul","consul","2004-12-10","2008-12-10","year","year"
"Nilda Celia Garré","","","","","Nilda Celia Garré","Ciudad de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1973-12-10","1976-03-24","",""
"Adolfo Rodríguez Saá","","","","","Adolfo Rodríguez Saá","San Luis","","Diputado provincial","Diputado provincial","Diputado","Legislativo","Electivo","4","Diputado provincial","Diputado provincial","Diputado","1973-12-10","1976-12-10","year","year"
"Luis Oscar Abdala","","","","","Luis Oscar Abdala","La Rioja","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1985-06-04","",""
"Alejandro Abel Alberto Abbiate","","","","","Alejandro Abel Alberto Abbiate","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1985-05-02","",""
"Oscar Tupic Abdala","","","","","Oscar Tupic Abdala","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1987-12-10","",""
"Carmen B. Acevedo De Bianchi","","","","","Carmen B. Acevedo De Bianchi","Formosa","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1985-06-04","",""
"Ramon Rosa Aguilar","","","","","Ramon Rosa Aguilar","Santiago del Estero","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1987-12-10","",""
"Ignacio Arturo Albarracin","","","","","Ignacio Arturo Albarracin","Catamarca","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1985-06-04","",""
"Ricardo Alberto Alagia","","","","","Ricardo Alberto Alagia","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1987-12-10","",""
"Manuel Alias","","","","","Manuel Alias","Jujuy","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1985-06-04","",""
"Norma Allegrone De Fonte","","","","","Norma Allegrone De Fonte","Ciudad de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1985-06-04","",""
"Álvaro Carlos Alsogaray","","","","","Álvaro Carlos Alsogaray","Ciudad de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1987-12-10","",""
"Adrian Carlos Alvarez","","","","","Adrian Carlos Alvarez","Jujuy","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1985-06-04","",""
"Amado Hector H. Altamirano","","","","","Amado Hector H. Altamirano","Neuquén","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1987-12-10","",""
"Roberto Pedro Alvarez","","","","","Roberto Pedro Alvarez","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1985-06-04","",""
"Marcelo Miguel Arabolaza","","","","","Marcelo Miguel Arabolaza","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1987-12-10","",""
"Julio César Aráoz","","","","","Julio César Aráoz","Córdoba","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1985-06-04","",""
"Hector Roberto Arson","","","","","Hector Roberto Arson","Ciudad de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1987-12-10","",""
"Ramon Rosauro Arrechea","","","","","Ramon Rosauro Arrechea","Misiones","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1987-12-10","",""
"Luis A. Asencio","","","","","Luis A. Asencio","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1985-06-04","",""
"Federico Austerlitz","","","","","Federico Austerlitz","Tucumán","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1987-12-10","",""
"Vicente M. Azcona","","","","","Vicente M. Azcona","Mendoza","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1987-12-10","",""
"Ricardo Ramon Balestra","","","","","Ricardo Ramon Balestra","Corrientes","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1985-06-04","",""
"Raul Eduardo Baglini","","","","","Raul Eduardo Baglini","Mendoza","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1985-06-04","",""
"Julio Donato Barbaro","","","","","Julio Donato Barbaro","Ciudad de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1985-06-04","",""
"Juan Carlos Barbeito","","","","","Juan Carlos Barbeito","San Luis","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1987-12-10","",""
"Hector Alfredo Basualdo","","","","","Hector Alfredo Basualdo","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1985-06-04","",""
"Luis Beder Herrera","","","","","Luis Beder Herrera","La Rioja","","Diputado provincial","Diputado provincial","Diputado","Legislativo","Electivo","4","Diputado provincial","Diputado provincial","Diputado","1983-12-10","1989-12-10","year","year"
"Carlos Armando Becerra","","","","","Carlos Armando Becerra","Córdoba","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1985-06-04","",""
"Juan Bautista Belarrinaga","","","","","Juan Bautista Belarrinaga","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1987-12-10","",""
"Tulio Maron Bernasconi","","","","","Tulio Maron Bernasconi","Ciudad de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1987-12-10","",""
"Ricardo Alejandro Berri","","","","","Ricardo Alejandro Berri","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1987-12-10","",""
"Carlos Humberto Bianchi","","","","","Carlos Humberto Bianchi","Corrientes","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1987-12-10","",""
"José Bielicki","","","","","José Bielicki","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1987-12-10","",""
"Elia Ana Bianchi De Zizzias","","","","","Elia Ana Bianchi De Zizzias","Mendoza","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1987-12-10","",""
"Victorio Osvaldo Bisciotti","","","","","Victorio Osvaldo Bisciotti","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1985-06-04","",""
"Jose Celestino Blanco","","","","","Jose Celestino Blanco","Ciudad de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1987-12-10","",""
"Luis Rodolfo Bodo","","","","","Luis Rodolfo Bodo","San Luis","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1985-06-04","",""
"Alberto C. Bonino","","","","","Alberto C. Bonino","Santa Fe","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1983-11-29","1987-12-10","",""
